product_name,url,variant_id,price,option0,option1,option2,stock,image_url
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1332877575,17570,XXS,1 ESTAMPA (frente o espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1332877582,20096,XXS,2 ESTAMPAS (frente y espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1402805805,19070,XXS,2 ESTAMPAS (SEGUNDA ESTAMPA HASTA 10X10 CM),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1332877588,17570,XS,1 ESTAMPA (frente o espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1332877596,20096,XS,2 ESTAMPAS (frente y espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1402805824,19070,XS,2 ESTAMPAS (SEGUNDA ESTAMPA HASTA 10X10 CM),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1320524877,17570,S,1 ESTAMPA (frente o espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1320524886,20096,S,2 ESTAMPAS (frente y espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1402805839,19070,S,2 ESTAMPAS (SEGUNDA ESTAMPA HASTA 10X10 CM),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
Remera oversize unisex negra,https://dreamful.mitiendanube.com/productos/remera-oversize-unisex-negra/,1320524893,17570,M,1 ESTAMPA (frente o espalda),,,//acdn-us.mitiendanube.com/stores/006/351/266/products/remera-over-frente-negra-7335423a23aaa9763a17496614752413-1024-1024.webp
